canonical_id	status	collection_path	pdf_path	txt_path	pdf_bytes	txt_chars	text_extractor	pdf_sha256	source_url	label	page_url	error
AN 5.140	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an05-140/an05-140.pdf	anguttara-nikaya/an05-140/an05-140.txt	144897	8616	pymupdf	cb9e392de659e3e395f2459fcd5295da8638af57bed4df090dcefcc9e63f6fc7	https://www.mindreleased.com/s/AN-5140-Sota-Sutta.pdf	Sota Sutta (Attentive Listener) AN 5.140	https://www.mindreleased.com/pali-suttas	
SN 52.1	TEXT_EXTRACTED	samyutta-nikaya	samyutta-nikaya/sn52-01/sn52-01.pdf	samyutta-nikaya/sn52-01/sn52-01.txt	198926	12558	pymupdf	214d6ff9c2e310bad579b2b035358cd9f1d9ba4c7f676d4a7738fb93ac2dff77	https://www.mindreleased.com/s/SN-521-Pahamarahogata-Sutta.pdf	Paṭhama Rahogata Sutta (In Seclusion – Part 1) SN 52.1	https://www.mindreleased.com/pali-suttas	
SN 12.2	TEXT_EXTRACTED	samyutta-nikaya	samyutta-nikaya/sn12-02/sn12-02.pdf	samyutta-nikaya/sn12-02/sn12-02.txt	172590	7148	pymupdf	4a25fdc87ca1285f71eceb93219415514562c56f80a3a6da44b0602ded8fe16a	https://www.mindreleased.com/s/SN-12-Vibhaga-Sutta.pdf	Vibhaṅga Sutta (An Explanation) SN 12.2	https://www.mindreleased.com/pali-suttas	
SN 12.23	TEXT_EXTRACTED	samyutta-nikaya	samyutta-nikaya/sn12-23/sn12-23.pdf	samyutta-nikaya/sn12-23/sn12-23.txt	231634	12487	pymupdf	76444cfbb5e85a195f23aaabc560313ccbda35b733574e1dbdd6fc88664455c8	https://www.mindreleased.com/s/SN-1223-Upanisa-Sutta.pdf	Upanisa Sutta (Closely Tied To) SN 12.23	https://www.mindreleased.com/pali-suttas	
AN 6.13	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an06-13/an06-13.pdf	anguttara-nikaya/an06-13/an06-13.txt	151312	6805	pymupdf	605ab2eb6ab4092c8ba2865ad0cf463da90e764d823c6bb45c862406c30606de	https://www.mindreleased.com/s/AN-613-Nissraya-Sutta.pdf	Nissāraṇīya Sutta (Elements to be Driven Out) AN 6.13	https://www.mindreleased.com/pali-suttas	
SN 35.240	TEXT_EXTRACTED	samyutta-nikaya	samyutta-nikaya/sn35-240/sn35-240.pdf	samyutta-nikaya/sn35-240/sn35-240.txt	182148	4192	pymupdf	4506d314d501d0ffb7b263164c7596f5da61a176d8f16b1b8763f8b814a67073	https://www.mindreleased.com/s/SN-35-240-Kummopama-Sutta.pdf	Kummopama Sutta (The Tortoise Simile) SN 35.240	https://www.mindreleased.com/pali-suttas	
AN 3.116	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an03-116/an03-116.pdf	anguttara-nikaya/an03-116/an03-116.txt	104302	3784	pymupdf	2beff9b752355e9b10d3f72791799f50da09ca7ee299dd34d9c1a00a66d403fb	https://www.mindreleased.com/s/AN-3116-neja-Sutta.pdf	Āneñja Sutta (Immovable States) AN 3.116	https://www.mindreleased.com/pali-suttas	
AN 6.10	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an06-10/an06-10.pdf	anguttara-nikaya/an06-10/an06-10.txt	160168	10352	pymupdf	f5eb6966b0ade38980d54b7169f491f1dc7839ac4b328767288579d44a018a66	https://www.mindreleased.com/s/AN-610-Mahnma-Sutta.pdf	Mahānāma Sutta (Mahānāma, the Sakyan) AN 6.10	https://www.mindreleased.com/pali-suttas	
SN 35.95	TEXT_EXTRACTED	samyutta-nikaya	samyutta-nikaya/sn35-95/sn35-95.pdf	samyutta-nikaya/sn35-95/sn35-95.txt	260951	22254	pymupdf	442cbab32152ccda0968670f2e7fca9b3d045305fd48349593860390d6ee6efc	https://www.mindreleased.com/s/SN-35-95-Mlukyaputta-Sutta.pdf	Māluṅkyaputta Sutta (On Māluṅkyaputta) SN 35.95	https://www.mindreleased.com/pali-suttas	
MN 44	TEXT_EXTRACTED	majjhima-nikaya	majjhima-nikaya/mn44/mn44.pdf	majjhima-nikaya/mn44/mn44.txt	197964	21216	pymupdf	c73883a212bbc529179c77a688f80764c8b022819530739a8d634b4d7b5be8af	https://www.mindreleased.com/s/MN-44-Cavedalla-Sutta.pdf	Cūḷavedalla Sutta (Shorter Discourse on a Series of Clarifications) MN 44	https://www.mindreleased.com/pali-suttas	
AN 3.65	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an03-65/an03-65.pdf	anguttara-nikaya/an03-65/an03-65.txt	213722	14493	pymupdf	7cd9f2be2326bbb33afd2a567d71139cc85d34449feb5f0ce49bd93d249ecf52	https://www.mindreleased.com/s/AN-365-Kesaputttiya-Klama-Sutta.pdf	Kesaputtiya (Kālama) Sutta (Discourse to the Kālamas) AN 3.65	https://www.mindreleased.com/pali-suttas	
SN 41.6	TEXT_EXTRACTED	samyutta-nikaya	samyutta-nikaya/sn41-06/sn41-06.pdf	samyutta-nikaya/sn41-06/sn41-06.txt	213183	7331	pymupdf	e045ac77ef79b0530d0a58872789f036ca7cda2c13280d8bef4971494cefe5e7	https://www.mindreleased.com/s/SN-41-6-Dutiyakmabh-Sutta.pdf	Dutiya Kāmabhū Sutta (With Kāmabhū – Part 2) SN 41.6	https://www.mindreleased.com/pali-suttas	
